;descripcion;precio;ppund
106;CERVEZA CLUB COLOMBIA 6U 330ML LATA ROJA;$ 17.590;PUM: 8.88 por mililitro
114;CERVEZA AGUILA 00 6U 330M LATA;$ 11.350;PUM: 5.73 por mililitro
121;CERVEZA BBC NR 6U 330C LAGER;$ 19.650;PUM: 9.92 por mililitro
135;CERVEZA BUDWEISER  6U 250ML;$ 13.750;PUM: 9.17 por mililitro
142;CERVEZA AGUILA 6U 330M LATA;$ 14.750;PUM: 7.45 por mililitro
143;CERVEZA CORONITA BOTELLA 6U 210ML;$ 15.990;PUM: 12.69 por mililitro
144;CERVEZA CLUB COLOMBIA 6U 330ML LTA DORADA;$ 13.990;PUM: 7.07 por mililitro
147;CERVEZA PILSEN LATA 6U 330CM;$ 15.750;PUM: 7.95 por mililitro
154;CERVEZA ANDINA 6U 355ML LATA;$ 14.500;PUM: 7.32 por mililitro
155;CERVEZA BUDWEISER 6U 269M LATA;$ 13.990;PUM: 8.67 por mililitro
156;CERVEZA AGUILA LIGHT 6U 330ML LATA;$ 16.980;PUM: 8.58 por mililitro
160;CERVEZA CLUB COLOMBIA 6U 330ML LATA NEGRA;$ 17.590;PUM: 8.88 por mililitro
162;CERVEZA COSTENA BACANA 6U 330ML;$ 13.890;PUM: 7.02 por mililitro
166;CERVEZA BECKS 6U 330ML LATA;$ 14.990;PUM: 7.57 por mililitro
170;CERVEZA BUDWEISER LATA 6U 355M;$ 17.990;PUM: 8.45 por mililitro
174;CERVEZA CLUB COLOMBIA 6U 330M NRB;$ 16.800;PUM: 8.48 por mililitro
